"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..46,"60,66%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..46,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..46,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..46,22%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..46,"10,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..46,51%
"Витрати на активацію, грн",0,0,0,Григорян С..46,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..46,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..46,5
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..46,"1,50"
,,,,Григорян С..46,
Резульати,,,,Григорян С..46,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..46,196
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..46,46 204
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..46,7 442
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..46,12 318
,,,,Григорян С..46,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..46,2 310
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..46,392
,93 185,65 126,7 246,Григорян С..46,2 702
"PL, грн план",137 366,123 334,5 677,Григорян С..46,2 174
"PL, % план","17,02%","21,60%","6,27%",Григорян С..46,"4,71%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..47,12.09-02.10.25
Мережа,Варус,Варус,Варус,Григорян С..47,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..47,"торт Вишня в шоколаді (1,0 кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Григорян С..47,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..47,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..47,"1,25"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..47,24 570
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..47,117
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..47,"54,48%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..47,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..47,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..47,4%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..47,"2,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..47,44%
"Витрати на активацію, грн",0,0,0,Григорян С..47,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..47,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..47,5
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..47,"2,00"
,,,,Григорян С..47,
Резульати,,,,Григорян С..47,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..47,325
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..47,61 425
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..47,11 203
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..47,17 492
,,,,Григорян С..47,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..47,4 607
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..47,894
,93 185,65 126,7 246,Григорян С..47,5 501
"PL, грн план",137 366,123 334,5 677,Григорян С..47,788
"PL, % план","17,02%","21,60%","6,27%",Григорян С..47,"1,28%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..48,12.09-02.10.25
Мережа,Варус,Варус,Варус,Григорян С..48,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..48,"Торт  Солона карамель (1,0 кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Григорян С..48,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..48,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..48,"1,25"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..48,16 801
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..48,60
